Dependency=Climate Zone	Dependency=Template Month	Dependency=Template Year	Dependency=heat_pump_type	heat_pump_heating_efficiency_type	heat_pump_heating_efficiency	heat_pump_cooling_efficiency_type	heat_pump_cooling_efficiency	heat_pump_backup_fuel	Source
								type	
1A	Sep	2020	air-to-air	HSPF	8.2	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
1B	Sep	2020	air-to-air	HSPF	8.2	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
1C	Sep	2020	air-to-air	HSPF	8.2	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
2A	Sep	2020	air-to-air	HSPF	8.2	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
2B	Sep	2020	air-to-air	HSPF	8.2	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
2C	Sep	2020	air-to-air	HSPF	8.2	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
3A	Sep	2020	air-to-air	HSPF	8.2	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
3B	Sep	2020	air-to-air	HSPF	8.2	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
3C	Sep	2020	air-to-air	HSPF	8.2	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
4A	Sep	2020	air-to-air	HSPF	8.5	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
4B	Sep	2020	air-to-air	HSPF	8.5	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
4C	Sep	2020	air-to-air	HSPF	9.25	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
5A	Sep	2020	air-to-air	HSPF	9.25	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
5B	Sep	2020	air-to-air	HSPF	9.25	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
5C	Sep	2020	air-to-air	HSPF	9.25	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
6A	Sep	2020	air-to-air	HSPF	9.5	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
6B	Sep	2020	air-to-air	HSPF	9.5	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
6C	Sep	2020	air-to-air	HSPF	9.5	SEER	15	electricity	"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
7	Sep	2020	air-to-air	HSPF	9.5	SEER	15	electricity	Engineering judgment
8	Sep	2020	air-to-air	HSPF	9.5	SEER	15	electricity	Engineering judgment
1A	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
1B	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
1C	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
2A	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
2B	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
2C	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
3A	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
3B	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
3C	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
4A	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
4B	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
4C	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
5A	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
5B	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
5C	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
6A	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
6B	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
6C	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
7	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
8	Sep	2020	mini-split	HSPF	10	SEER	19	electricity	Engineering judgment
1A	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
1B	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
1C	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
2A	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
2B	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
2C	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
3A	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
3B	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
3C	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
4A	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
4B	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
4C	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
5A	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
5B	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
5C	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
6A	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
6B	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
6C	Sep	2020	ground-to-air	COP	3.6	EER	17.1		Engineering judgment
7	Sep	2020	ground-to-air	COP	3.6	EER	17.1		"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
8	Sep	2020	ground-to-air	COP	3.6	EER	17.1		"National ERI Target Procedure ENERGY STAR Certified Homes, Version 3.1 (Rev. 10)"
