Dependency=geometry_unit_cfa_bin_simp,Dependency=vintage_simp,Dependency=heating_fuel,100,101-124,125,126-199,200,201+,<100,source_weight,source_count,fallback_count,fallback_weight
0-999,1940-69,electricity,0.270015699,0,0.544740973,0,0.092621664,0.067503925,0.025117739,14.81395349,28,28,14.81395349
0-999,1940-69,non-electricity,0.984647411,0.004163414,0,0,0.011189175,0,0,89.37209302,90,90,89.37209302
0-999,1970-79,electricity,0.070743953,0.041898676,0.589958923,0.057690552,0.182017344,0.014422638,0.043267914,36.39534884,63,63,36.39534884
0-999,1970-79,non-electricity,0.910490938,0.0024729,0.000639211,0.013291839,0.019937758,0.006645919,0.046521435,0,0,152,150.4682741
0-999,1980-89,electricity,0.022978723,0,0.44212766,0.184680851,0.173191489,0,0.177021277,5.773955774,40,40,5.773955774
0-999,1980-89,non-electricity,0.910490938,0.0024729,0.000639211,0.013291839,0.019937758,0.006645919,0.046521435,4,4,152,150.4682741
0-999,1990+,electricity,0.027607362,0,0.622699387,0.036809816,0.303680982,0,0.009202454,11.64285714,67,67,11.64285714
0-999,1990+,non-electricity,0.01986755,0,0.735099338,0.01986755,0.01986755,0.185430464,0.01986755,5.392857143,17,17,5.392857143
0-999,<1940,electricity,0.139363424,0,0.200503507,0.139363424,0.127135407,0,0.393634238,7.86562942,16,16,7.86562942
0-999,<1940,non-electricity,0.858201006,0,0.001684544,0.035028612,0,0,0.105085837,57.09618105,58,58,57.09618105
1000-1999,1940-69,electricity,0.072329689,0,0.708438464,0,0.037286235,0,0.181945613,13.8255814,24,24,13.8255814
1000-1999,1940-69,non-electricity,0.819825973,0.003949752,0.022985775,0.01532385,0.0306477,0,0.10726695,130.5155039,131,131,130.5155039
1000-1999,1970-79,electricity,0.554605626,0.007777165,0.303309432,0.03110866,0.055488141,0.024379482,0.023331495,60.23255814,90,90,60.23255814
1000-1999,1970-79,non-electricity,0.678571429,0,0.107142857,0.035714286,0.035714286,0.071428571,0.071428571,28,28,28,28
1000-1999,1980-89,electricity,0.133550489,0,0.556460369,0.066775244,0.220955483,0,0.022258415,27.15479115,41,41,27.15479115
1000-1999,1980-89,non-electricity,0.454545455,0,0.090909091,0.045454545,0.227272727,0.090909091,0.090909091,22,22,22,22
1000-1999,1990+,electricity,0.1125,0,0.66875,0.06875,0.11875,0.01875,0.0125,53.33333333,74,74,53.33333333
1000-1999,1990+,non-electricity,0.297468354,0,0.246835443,0.069620253,0.240506329,0.075949367,0.069620253,52.66666667,57,57,52.66666667
1000-1999,<1940,electricity,0.076182007,0,0.457092041,0.076182007,0,0,0.390543945,9.543140028,12,12,9.543140028
1000-1999,<1940,non-electricity,0.884105221,0.001973449,0.003408177,0.015787593,0.04736278,0.005920347,0.041442432,506.7270156,507,507,506.7270156
2000+,1940-69,electricity,0,0,0.904761905,0,0.047619048,0,0.047619048,2.360465116,21,21,2.360465116
2000+,1940-69,non-electricity,0.858740514,0.003861004,0,0,0.103048862,0,0.034349621,29.1124031,30,30,29.1124031
2000+,1970-79,electricity,0.053571429,0.017857143,0.696428571,0.071428571,0.089285714,0.017857143,0.053571429,0.372093023,56,56,0.372093023
2000+,1970-79,non-electricity,0.820629868,0.000688368,0.013330969,0.036744621,0.085737449,0.006124103,0.036744621,4,4,165,163.2892065
2000+,1980-89,electricity,0.171428571,0,0.714285714,0.085714286,0,0,0.028571429,13.07125307,35,35,13.07125307
2000+,1980-89,non-electricity,0.820629868,0.000688368,0.013330969,0.036744621,0.085737449,0.006124103,0.036744621,5,5,165,163.2892065
2000+,1990+,electricity,0.042347697,0,0.691679049,0.056463596,0.195393759,0,0.014115899,16.02380952,64,64,16.02380952
2000+,1990+,non-electricity,0.487115022,0,0.107479573,0.064739158,0.170333124,0.052796983,0.117536141,18.94047619,29,29,18.94047619
2000+,<1940,electricity,0.044741146,0,0.80888802,0.044741146,0.028444271,0,0.073185417,1.591230552,9,30,3.951695668
2000+,<1940,non-electricity,0.862779661,0,0.001412429,0.047932203,0.063909605,0,0.023966102,125.1768034,126,126,125.1768034